ID,Trigger Condition,Data Types Involved,Regulations Triggered,DPA Required?,Required DPA / Contract Clauses,Additional Obligations,Lichen Action / Owner
C-02,Vendor proposes to add a new sub-processor after DPA execution,Personal data processed under the DPA,GDPR Art. 28(2); DPA contractual terms,CONDITIONAL,"Vendor must provide advance written notice (minimum 10 business days per Lichen standard terms). Lichen has right to object on reasonable grounds. If objection upheld and vendor cannot remediate, either party may terminate the affected service.",IT Security reviews sub-processor security posture upon notification. Legal assesses DPA flow-down adequacy.,Owner: IT Security + Legal
D-01,Vendor will process payment card data (cardholder data or SAD) on behalf of Lichen,Primary Account Number (PAN); cardholder name; expiration date; CVV/CVC; PIN blocks,PCI DSS v4.0 (Requirements 12.8–12.9 for third-party service providers),REQUIRED,PCI DSS TPSP Agreement or DPA addendum; vendor must provide current PCI DSS Report on Compliance (ROC) or SAQ; annual acknowledgment of PCI responsibilities; must be listed on Lichen's TPSP inventory,Confirm vendor's current PCI DSS compliance status before engagement. IT Security to retain copy of ROC/SAQ.,Owner: IT Security / Compliance
D-02,Vendor will process protected health information (PHI) or electronic PHI (ePHI) as a business associate,PHI as defined under 45 CFR §160.103: individually identifiable health information in any form,HIPAA Privacy Rule (45 CFR Part 164 Subpart E); HIPAA Security Rule (45 CFR Part 164 Subpart C); HITECH Act,REQUIRED,HIPAA Business Associate Agreement (BAA) — mandatory under 45 CFR §164.308(b); must include: permitted uses and disclosures; safeguard obligations; breach notification obligations; return/destroy obligations at termination,HIPAA BAA must be executed before any PHI is disclosed. Legal must confirm vendor is not a conduit (conduits do not require BAA).,Owner: General Counsel / Compliance
D-03,"Vendor will process Lichen employee personal data (HR data, payroll, benefits, disciplinary records)","Employee name, national ID/SSN, salary, performance data, disciplinary records, health/benefits data","GDPR Art. 28 (if EU employees); applicable local employment law (e.g., German BDSG §26, French Labor Code); CCPA/CPRA employee PI exemption status",REQUIRED,Art. 28 DPA; local employment law addenda as required by jurisdiction; employee notification obligations may apply; works council consultation may be required in applicable EU jurisdictions,HR and Legal must jointly assess jurisdictional requirements before engagement. Works council review mandatory for applicable EU operations.,Owner: HR / Legal
D-04,"Vendor will process financial data that is not payment card data (e.g., bank account details, financial forecasts, M&A data)",Bank account numbers; ABA routing numbers; financial statements; earnings data,GLBA Safeguards Rule (if financial institution nexus); GDPR Art. 28 if EU personal financial data; SOX data-integrity controls if related to financial reporting,CONDITIONAL,DPA or data handling agreement required if personal financial data is in scope; SOX controls addendum if data feeds into financial reporting; confidentiality agreement (NDA) baseline requirement,Legal to determine if GLBA or SOX obligations attach. NDA baseline required regardless.,Owner: Legal / Finance
E-01,Vendor will have logical access to Lichen production systems or data repositories containing personal data,Any personal data accessible via the production system or repository,GDPR Art. 28 (if EU personal data); ISP-001 §12 (Lichen IT Security Policy); access control obligations,REQUIRED,Art. 28 DPA; ISP-001 §12 compliance attestation; role-based access control and least-privilege acknowledgment; access revocation on termination obligation,IT Security must provision and review access per ISP-001 §6. DPA executed before access granted.,Owner: IT Security / Legal
E-02,"Vendor will retain personal data beyond the term of the services (e.g., for backup, legal hold, or archival purposes)",Personal data within scope of the engagement,GDPR Arts. 5(1)(e) (storage limitation); 28(3)(g); applicable retention laws,REQUIRED,DPA must include: specific retention period or criteria; obligation to delete or return data on termination; certification of deletion required; exceptions for legal hold must be documented and time-limited,Legal to define contractual retention period at engagement outset. Post-termination deletion certification must be obtained within 30 days of termination.,Owner: Legal / Privacy
E-03,Vendor will process personal data solely on documented instructions from Lichen (no independent discretion over purpose or means),Any personal data within scope,GDPR Art. 28(3)(a) — processor instruction requirement,REQUIRED,DPA must include: vendor processes only on documented instructions; vendor notifies Lichen if it believes an instruction infringes GDPR; prohibition on processing for vendor's own purposes,Instructions must be documented in the SOW or DPA Annex. Legal to confirm instruction language is sufficiently specific.,Owner: Legal / Business Owner
E-04,Vendor provides a SaaS platform where Lichen uploads or generates personal data (Lichen is controller; vendor is processor of that data),Any personal data uploaded to or generated within the SaaS platform,GDPR Art. 28; CCPA service provider provisions; vendor's own privacy policy must not conflict,REQUIRED,"Art. 28 DPA or vendor's standard DPA (reviewed and approved by Lichen Legal); ensure vendor DPA does not grant vendor rights to use Lichen data for model training, analytics, or product improvement without explicit consent",Legal must review vendor's standard DPA — do not accept without review. Flag any model-training or product-improvement carve-outs.,Owner: Legal / Privacy
E-05,Vendor will conduct profiling or automated decision-making using personal data that produces legal or similarly significant effects on data subjects,"Personal data used as input to algorithmic or ML-based decisions (e.g., credit scoring, candidate screening, risk scoring)",GDPR Art. 22; Art. 28; Art. 35 (DPIA likely required),REQUIRED,"Art. 28 DPA; DPIA mandatory; DPA must include: nature of automated processing; logic involved; significance and envisaged consequences; data subject rights support (right to human review, explanation, contest)",DPIA required before deployment. Legal and Privacy Team must assess Art. 22 applicability. Vendor must support data subject rights obligations.,Owner: Privacy Team / CISO
E-06,Vendor engagement involves only anonymized or fully aggregated data with no re-identification risk,Anonymized data (not personal data under GDPR if truly anonymous),GDPR Recital 26 (anonymization standard); risk of re-identification assessment required,NOT REQUIRED,No DPA required if data is genuinely anonymous. Anonymization methodology must be documented and validated. Lichen retains right to audit anonymization controls. Pseudonymized data is still personal data and is NOT exempt.,Privacy Team must validate anonymization methodology before classifying as out-of-scope. Document validation and retain.,Owner: Privacy Team
E-07,"Vendor processes only Lichen's own business data with no personal data component (e.g., machine telemetry, aggregate inventory counts, non-personal operational data)",Non-personal business data (no natural persons identifiable directly or indirectly),No personal data regulation triggered,NOT REQUIRED,"No DPA required. Standard confidentiality provisions and NDA sufficient. Confirm data classification does not include personal data at any processing stage (including metadata, logs, and derived outputs).",Business Owner to confirm absence of personal data in data flows. IT Security to validate that logs and metadata do not introduce personal data.,Owner: Business Owner / IT Security
F-01,Vendor experiences a personal data breach affecting Lichen personal data,Any personal data within scope of the DPA,GDPR Art. 28(3)(f); Art. 33 (72-hour supervisory authority notification); Art. 34 (data subject notification where required); applicable US state breach notification laws,REQUIRED,"DPA must include: vendor obligation to notify Lichen without undue delay (Lichen standard: within 24 hours of vendor becoming aware); notification content requirements (nature of breach, categories, approximate number of data subjects and records, likely consequences, measures taken); obligation to cooperate with Lichen's breach response",Legal / Privacy Team leads breach response. IT Security coordinates forensic assessment. Regulatory notification timeline (72 hours for GDPR) begins from when Lichen becomes aware.,Owner: Privacy Team / Legal / IT Security
F-02,"Vendor receives a data subject request (access, deletion, portability, correction, restriction, objection) relating to personal data it processes on Lichen's behalf",Personal data within scope of the DPA relating to the requesting data subject,GDPR Arts. 12–22; CCPA §1798.100–.125; UK GDPR equivalent provisions,REQUIRED,DPA must include: vendor obligation to promptly (within 5 business days per Lichen standard) forward data subject requests to Lichen; vendor obligation to provide technical assistance to enable Lichen to fulfill requests; vendor must not respond directly to data subjects without Lichen authorization (unless legally compelled),Lichen Privacy Team is responsible for fulfilling data subject requests. Vendor provides data-retrieval and deletion assistance within agreed SLA.,Owner: Privacy Team
F-03,Vendor receives a legally binding government or law enforcement request for Lichen personal data,Personal data within scope of the DPA,GDPR Art. 28(3)(a); applicable national law; potential conflict with Art. 48 (no judgment or decision of a non-EU court/authority shall be recognized unless international agreement),CONDITIONAL,DPA should include: obligation to notify Lichen of government requests unless legally prohibited; obligation to challenge overbroad requests where legally possible; Art. 48 conflict-of-law considerations if vendor is in a country with expansive surveillance laws (cf. FISA §702 / CLOUD Act for US-based vendors),Legal / External Counsel to assess FISA / CLOUD Act exposure for US-based vendors handling EU data. Include notification and challenge obligations in DPA.,Owner: General Counsel
G-01,Vendor processes personal data under a DPA and Lichen wishes to exercise audit rights,Personal data within scope of the DPA,GDPR Art. 28(3)(h) — controller audit right; Art. 5(2) accountability principle,REQUIRED,"DPA must include: right for Lichen (or appointed auditor) to conduct audits and inspections; vendor obligation to provide all information necessary to demonstrate compliance; right to conduct on-site audits with reasonable notice (Lichen standard: 30 days); vendor may satisfy audit right via third-party audit reports (e.g., SOC 2 Type II, ISO 27001) subject to Lichen acceptance",IT Security and Privacy Team coordinate audits. SOC 2 Type II report review is the standard first step. On-site audit reserved for RESTRICTED data vendors or post-incident.,Owner: IT Security / Legal
G-02,Vendor will implement a DPIA as a joint exercise with Lichen for high-risk processing activities,"High-risk personal data processing (Art. 35 criteria: large-scale, systematic monitoring, special categories, automated decision-making with significant effects)",GDPR Art. 35; Art. 36 (prior consultation with supervisory authority if DPIA indicates high residual risk),REQUIRED,"DPA must include vendor cooperation obligation for DPIA; vendor must provide technical and organizational details required for DPIA completion; if DPIA identifies high residual risk, Lichen must consult supervisory authority before processing (Art. 36)","Privacy Team leads DPIA. Vendor provides processing details. If Art. 36 consultation required, allow 8-week minimum timeline before processing.",Owner: Privacy Team / Legal
